Time,PickupX,PickupY,DropoffX,DropoffY
5,935.212,1087.592,1259.129,926.135
16,1560.698,1011.562,907.423,1081.803
26,970.142,1245.195,1448.85,825.247
29,1442.33,1262.062,901.791,1097.993
36,1349.314,1013.652,1074.739,1334.803
41,1074.739,1334.803,1302.192,836.317
41,1224.873,1166.635,1440.809,1276.609
48,1117.055,1345.54,1404.534,1012.322
49,1006.99,863.754,1363.511,1015.551
56,1306.724,1007.954,949.107,901.364
74,1448.85,825.247,1400.808,1106.08
84,1361.485,861.713,1380.992,1345.114
86,949.107,901.364,1260.952,883.744
89,1316.952,835.069,1388.684,1221.312
121,1278.33,1004.156,1428.647,1392.983
122,1477.108,1175.013,1433.208,1349.342
126,947.949,869.328,969.37,1215.733
128,1249.936,1000.357,1517.249,1160.54
128,949.686,917.381,935.212,1087.592
132,1045.295,1326.036,1378.108,1391.54
133,1169.352,848.423,1304.002,1382.856
135,1404.534,1012.322,1544.009,1150.89
145,1171.423,998.434,1021.75,862.36
146,1030.573,1321.653,1216.967,1225.092
148,942.318,1157.817,1316.952,835.069
149,1319.345,1186.448,1131.16,1349.119
156,1490.912,1007.726,1171.423,998.434
158,1380.031,1360.59,1050.722,1119.112
160,1463.453,824.234,1127.568,992.789
161,1597.529,1131.592,1513.804,880.325
177,1187.126,998.819,890.529,1130.373
182,1381.954,1329.639,930.195,1287.715
187,1560.864,1287.712,935.212,1087.592
190,1402.476,1227.863,1257.913,954.396
192,1335.117,1011.753,876.09,1171.885
195,1470.852,1395.997,1633.864,1230.079
195,1460.676,1008.638,1224.873,1166.635
195,1036.51,860.966,866.464,1199.559
197,1496.274,1272.416,1006.99,863.754
202,1333.529,1188.329,1391.052,1165.091
202,1443.85,1247.515,968.984,1201.002
204,1108.772,1134.953,1079.747,1127.033
208,1166.822,1150.794,1565.302,1026.566
209,1263.812,1177.261,1216.967,1225.092
209,1224.873,1166.635,1390.266,1195.855
218,1220.951,1181.007,1428.647,1392.983
220,1361.358,846.519,971.686,1304.119
228,1570.769,1141.241,1443.85,1247.515
228,1418.209,1011.246,1320.92,1009.853
229,925.877,1004.73,1503.232,851.267
232,1437.769,1305.702,1583.718,1086.581
232,1278.33,1004.156,1434.728,1334.796
233,1607.911,1159.731,1074.739,1334.803
235,1361.232,831.325,1257.913,954.396
238,1065.234,1123.073,1361.612,876.907
238,935.212,1087.592,1539.453,1341.331
239,945.44,931.083,1391.445,1149.71
240,1503.232,851.267,1557.389,1146.066
242,969.37,1215.733,1249.936,1000.357
242,1234.992,1316.277,971.686,1304.119
243,1592.925,1116.588,1071.844,1304.987
245,1385.8,1267.738,949.686,917.381
245,916.364,1282.247,1316.952,835.069
246,1633.864,1230.079,890.529,1130.373
247,1411.801,1392.502,968.212,1171.54
250,1154.592,849.817,1565.302,1026.566
251,1259.736,912.005,1304.092,880.814
252,925.877,1004.73,1079.747,1127.033
257,1394.954,1392.021,1258.926,854.622
258,949.686,917.381,1063.16,1215.54
260,856.838,1227.234,1439.289,1291.155
262,1348.466,1388.066,1063.16,1215.54
264,930.195,1287.715,1050.722,1119.112
266,1390.266,1195.855,1347.713,1190.211
270,1378.108,1391.54,1228.546,1271.119
273,1243.153,841.455,1333.645,1386.33
281,1348.466,1388.066,1513.804,880.325
282,1292.527,1006.055,1463.453,824.234
288,1333.529,1188.329,901.791,1097.993
290,1236.265,1301.803,1506.03,1007.27
292,1633.864,1230.079,1332.852,878.86
293,1274.36,1379.382,1496.274,1272.416
293,1381.954,1329.639,896.16,1114.183
294,903.476,1137.234,1051.27,859.573
294,1538.621,1001.687,1201.686,1367.014
299,1050.722,1119.112,1318.824,1384.593
300,1216.967,1225.092,1363.511,1015.551
302,1394.954,1392.021,1419.644,827.273
302,1402.476,1227.863,1377.185,1014.475
304,880.903,1158.047,1213.108,1209.75
304,1419.213,1188.908,1259.539,1377.645
305,1569.906,1041.57,1276.792,1180.803
308,1320.92,1009.853,992.23,865.147
308,916.423,1144.095,1068.949,1275.171
313,1331.712,833.821,1276.792,1180.803
320,876.09,1171.885,1346.472,832.573
325,1258.926,854.622,1050.722,1119.112
325,971.686,1304.119,1290.976,1182.684
326,1213.632,844.242,1131.16,1349.119
327,1470.062,1259.966,1404.534,1012.322
327,1074.739,1334.803,1363.511,1015.551
328,1404.534,1012.322,957.856,1298.651
331,874.873,1265.844,1492.659,822.208
334,1304.092,880.814,847.212,1254.908
334,1533.289,1370.674,1290.976,1182.684
335,1522.486,1284.867,1201.686,1367.014
336,1545.616,1311.989,1112.949,990.908
337,1215.792,1370.593,1602.72,1145.662
339,1292.527,1006.055,992.23,865.147
342,935.212,1087.592,1419.644,827.273
343,1430.167,1378.436,914.804,1050.974
343,1390.266,1195.855,1430.167,1378.436
344,861.651,1213.396,1439.289,1291.155
344,1304.002,1382.856,1244.718,1375.908
345,1456.956,1253.741,1497.945,836.738
353,1503.232,851.267,929.37,1150.956
353,1418.209,1011.246,968.212,1171.54
353,1434.728,1334.796,1274.36,1379.382
356,902.534,1276.78,1066.055,1245.356
356,1070.397,1290.079,1231.171,1359.698
358,1361.232,831.325,1597.529,1131.592
359,1349.314,1013.652,1289.181,1381.119
360,1477.108,1175.013,1152.31,1146.834
364,1621.698,1239.684,1463.453,824.234
365,1361.232,831.325,885.716,1144.21
368,936.949,958.487,1545.521,967.5
369,1290.976,1182.684,1392.231,1118.946
370,1436.248,1320.249,1477.108,1175.013
370,1522.486,1284.867,1181.335,1154.754
373,1388.684,1221.312,888.703,1271.312
375,1228.546,1271.119,1534.949,938.442
377,1173.476,1359.856,1442.33,1262.062
379,1633.864,1230.079,1258.926,854.622
384,935.212,1087.592,885.716,1144.21
387,1508.518,865.796,1210.36,1162.675
392,1529.663,923.913,866.464,1199.559
393,1095.551,855.392,1347.232,877.883
393,1021.844,1111.232,1289.181,1381.119
394,1382.915,1314.164,1456.956,1253.741
395,1001.13,1312.886,1390.86,1013.399
396,1259.939,869.183,1304.092,880.814
398,970.528,1259.926,1527.126,1400.017
399,1361.485,861.713,1430.059,1240.964
399,1257.913,840.061,1171.423,998.434
400,1244.718,1375.908,1448.85,825.247
402,1195.848,1158.715,1391.052,1165.091
402,1544.009,1150.89,1440.809,1276.609
404,1584.149,1136.417,1066.031,858.179
407,1430.059,1240.964,1278.33,1004.156
409,1187.581,1363.435,949.686,917.381
410,871.277,1185.722,1492.659,822.208
412,1187.126,998.819,861.651,1213.396
414,1258.521,940.265,1522.486,1284.867
414,936.949,958.487,1597.364,1258.895
416,1434.247,826.26,1431.688,1363.889
417,1503.232,851.267,1517.249,1160.54
417,1318.472,879.837,861.042,1260.376
418,933.258,973.901,1079.747,1127.033
419,1378.108,1391.54,1166.822,1150.794
422,1497.945,836.738,1497.945,836.738
423,1287.433,837.565,1419.213,1188.908
424,1050.722,1119.112,1383.877,1298.688
427,1574.51,1056.574,1613.101,1173.801
431,1051.27,859.573,964.09,1095.472
433,1440.809,1276.609,1056.941,1167.326
435,1007.406,1107.292,1527.126,1400.017
437,1131.16,1349.119,1478.056,823.221
440,1187.581,1363.435,1229.897,1374.172
441,964.09,1095.472,1333.645,1386.33
441,981.021,967.822,1390.266,1195.855
443,1233.718,1330.75,1290.976,1182.684
444,1287.433,837.565,1231.171,1359.698
445,1067.502,1260.263,1250.832,1173.719
448,1244.718,1375.908,1007.406,1107.292
453,1198.872,845.636,925.877,1004.73
453,1570.769,1141.241,1361.485,861.713
456,1229.897,1374.172,969.756,1230.464
458,1379.069,1376.065,1349.314,1013.652
462,1623.483,1201.94,1166.822,1150.794
462,1275.332,882.767,929.567,989.316
464,1173.476,1359.856,1517.249,1160.54
464,1187.581,1363.435,935.212,1087.592
470,1050.722,1119.112,1187.581,1363.435
473,1439.289,1291.155,1332.852,878.86
473,1260.952,883.744,1588.321,1101.585
474,1139.832,851.211,1305.16,1184.566
477,1545.616,1311.989,1236.265,1301.803
479,1361.897,1192.092,1519.09,894.854
482,1259.129,926.135,1274.36,1379.382
483,1137.797,1142.874,907.423,1081.803
484,1409.385,1093.215,1633.864,1230.079
486,1545.616,1311.989,1257.913,840.061
488,901.791,1097.993,1217.029,1195.378
490,1442.715,1393.987,966.331,964.71
490,1361.612,876.907,1542.534,1326.66
491,1051.27,859.573,1272.673,838.813
492,1068.949,1275.171,964.09,1095.472
497,1443.85,1247.515,1252.595,985.037
